processid,BOLDID,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,name,add. Name,morph,identification_provided_by,voucher_type,tissue_type,collectors,date,lifestage,sex,reproduction,extrainfo,notes,lat,lon,trapID,coord_source,coord_accuracy,country,province,region,exactsite,image_ids,image_urls,copyright_licenses,trace_ids,trace_links,run_dates,sequencing_centers,directions,seq_primers,marker_codes
NEONU1424-12,NEONTcarabid6125,3038368, ,carabid6125,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,, ,, ,,Carabidae,sp.,,David Hoekman, ,leg,Robert Nelson,8/20/2012,A, ,S,Contaminant, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4744901|4744996,http://trace.boldsystems.org/traceIO/bold.org/6592163|http://trace.boldsystems.org/traceIO/bold.org/6592258,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1392-12,NEONTcarabid6116,3038336, ,carabid6116,"National Ecological Observatory Network, United States",BOLD:ACC4751,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,171454,Selenophorus,,Carabidae,sp.,,David Hoekman, ,leg,Robert Nelson,7/23/2012,A, ,S,Unresolved, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4744869|4744964,http://trace.boldsystems.org/traceIO/bold.org/6592131|http://trace.boldsystems.org/traceIO/bold.org/6592226,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1422-12,NEONTcarabid6115,3038366, ,carabid6115,"National Ecological Observatory Network, United States",BOLD:ACC4751,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,171454,Selenophorus,,Selenophorus,sp.,,Michael Thomas, ,leg,Robert Nelson,7/23/2012,A, ,S,Unresolved, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4744899|4744994,http://trace.boldsystems.org/traceIO/bold.org/6592161|http://trace.boldsystems.org/traceIO/bold.org/6592256,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1414-12,NEONTcarabid6123,3038358, ,carabid6123,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,, ,, ,,Carabidae,sp.,,Sean Hauser, ,leg,Robert Nelson,7/16/2012,A, ,S, , ,28.104,-81.43,2, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4770142|4770148,http://trace.boldsystems.org/traceIO/bold.org/6617404|http://trace.boldsystems.org/traceIO/bold.org/6617410,2013-01-18 01:31:43|2013-01-18 03:02:40,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,R|F,MLepR2|C_LepFolF,COI-5P|COI-5P
NEONU1398-12,NEONTcarabid6122,3038342,carabid6122,carabid6122,"National Ecological Observatory Network, United States",BOLD:AAX4178,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,124873,Microlestes,,Carabidae,sp.,,Michael Thomas, ,leg,Robert Nelson,7/30/2012,A, ,S,DNA ID, ,28.064,-81.418,5, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4744875|4744970,http://trace.boldsystems.org/traceIO/bold.org/6592137|http://trace.boldsystems.org/traceIO/bold.org/6592232,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1387-12,NEONTcarabid6109,3038331, ,carabid6109,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,171454,Selenophorus,,Selenophorus,sp.,,Michael Thomas, ,leg,Robert Nelson,7/30/2012,A, ,S,Contaminant, ,28.047,-81.402,7, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4744864|4744959,http://trace.boldsystems.org/traceIO/bold.org/6592126|http://trace.boldsystems.org/traceIO/bold.org/6592221,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1397-12,NEONTcarabid6121,3038341, ,carabid6121,"National Ecological Observatory Network, United States",BOLD:ACC4583,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,379095,Amblygnathus,379096,Amblygnathus iripennis,,,Michael Thomas, ,leg,Robert Nelson,7/16/2012,A, ,S,singleton, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4744874|4744969,http://trace.boldsystems.org/traceIO/bold.org/6592136|http://trace.boldsystems.org/traceIO/bold.org/6592231,2013-01-08 19:50:45|2013-01-08 21:22:43,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1466-12,NEONTcarabid6088,3038410, ,carabid6088,"National Ecological Observatory Network, United States",BOLD:ACU0733,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,24738,Anisodactylus,544715,Anisodactylus ,sp.,D3.A,David Hoekman, ,leg,Robert Nelson,8/20/2012,A, ,S,Unresolved, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4745374|4745469,http://trace.boldsystems.org/traceIO/bold.org/6592636|http://trace.boldsystems.org/traceIO/bold.org/6592731,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1468-12,NEONTcarabid6090,3038412, ,carabid6090,"National Ecological Observatory Network, United States",BOLD:ACE5724,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,24738,Anisodactylus,544715,Anisodactylus ,sp.,D3.A,David Hoekman, ,leg,Robert Nelson,7/23/2012,A, ,S,Unresolved, ,28.125,-81.433,1, ,,United States,Florida,Osceola County,Disney Wilderness Preserve,,,,4745376|4745471,http://trace.boldsystems.org/traceIO/bold.org/6592638|http://trace.boldsystems.org/traceIO/bold.org/6592733,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1471-12,NEONTcarabid6093,3038415, ,carabid6093,"National Ecological Observatory Network, United States",BOLD:ACC4653,20,Arthropoda,82,Insecta,413,Coleoptera,948,Carabidae,2933,Harpalinae,24738,Anisodactylus,544703,Anisodactylus haplomus,,,Michael Thomas, ,leg,Robert Nelson,7/16/2012,A, ,S, , ,28.044,-81.422,4, ,,United States,Florida,Polk County,Disney Wilderness Preserve,,,,4745379|4745474,http://trace.boldsystems.org/traceIO/bold.org/6592641|http://trace.boldsystems.org/traceIO/bold.org/6592736,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
