processid,BOLDID,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,name,identification_provided_by,voucher_type,tissue_type,collectors,date,lifestage,sex,reproduction,extrainfo,notes,lat,lon,trapID,coord_source,coord_accuracy,country,province,region,exactsite,image_ids,image_urls,copyright_licenses,trace_ids,trace_links,run_dates,sequencing_centers,directions,seq_primers,marker_codes
NEONU1534-12,NEONTculicid6201,3038478,culicid6201,culicid6201,"National Ecological Observatory Network, United States",BOLD:ACC4755,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373180,Aedes atlanticus,C. Roxanne Connelly, ,leg,Robert Nelson,7/18/2012,A, ,S,Unresolved, ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745011|4745104,http://trace.boldsystems.org/traceIO/bold.org/6592273|http://trace.boldsystems.org/traceIO/bold.org/6592366,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1521-12,NEONTculicid6188,3038465, ,culicid6188,"National Ecological Observatory Network, United States",BOLD:AAA5870,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,24536,Aedes albopictus,C. Roxanne Connelly, ,leg,Robert Nelson,8/29/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4744998|4745091,http://trace.boldsystems.org/traceIO/bold.org/6592260|http://trace.boldsystems.org/traceIO/bold.org/6592353,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1520-12,NEONTculicid6278,3038464, ,culicid6278,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745428|4745523,http://trace.boldsystems.org/traceIO/bold.org/6592690|http://trace.boldsystems.org/traceIO/bold.org/6592785,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1522-12,NEONTculicid6189,3038466, ,culicid6189,"National Ecological Observatory Network, United States",BOLD:AAG3848,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6441,Culex,101380,Culex erraticus,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4744999|4745092,http://trace.boldsystems.org/traceIO/bold.org/6592261|http://trace.boldsystems.org/traceIO/bold.org/6592354,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1536-12,NEONTculicid6203,3038480, ,culicid6203,"National Ecological Observatory Network, United States",BOLD:AAW1491,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373180,Aedes atlanticus,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745013|4745106,http://trace.boldsystems.org/traceIO/bold.org/6592275|http://trace.boldsystems.org/traceIO/bold.org/6592368,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1524-12,NEONTculicid6191,3038468, ,culicid6191,"National Ecological Observatory Network, United States",BOLD:AAA5870,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,24536,Aedes albopictus,Hilda Lynn, ,leg,Robert Nelson,8/9/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745001|4745094,http://trace.boldsystems.org/traceIO/bold.org/6592263|http://trace.boldsystems.org/traceIO/bold.org/6592356,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1518-12,NEONTculicid6277,3038462, ,culicid6277,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745426|4745521,http://trace.boldsystems.org/traceIO/bold.org/6592688|http://trace.boldsystems.org/traceIO/bold.org/6592783,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1535-12,NEONTculicid6202,3038479, ,culicid6202,"National Ecological Observatory Network, United States",BOLD:AAW1491,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,373180,Aedes atlanticus,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.186,-84.482,1, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745012|4745105,http://trace.boldsystems.org/traceIO/bold.org/6592274|http://trace.boldsystems.org/traceIO/bold.org/6592367,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1528-12,NEONTculicid6195,3038472, ,culicid6195,"National Ecological Observatory Network, United States",BOLD:ACC4605,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,510726,Aedes fulvus pallens,Hilda Lynn, ,leg,Robert Nelson,7/18/2012,A, ,S, , ,31.183,-84.478,2, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745005|4745098,http://trace.boldsystems.org/traceIO/bold.org/6592267|http://trace.boldsystems.org/traceIO/bold.org/6592360,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1610-12,NEONTculicid6622,3038554, ,culicid6622,"National Ecological Observatory Network, United States",BOLD:ACC4605,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,510726,Aedes fulvus pallens,Hilda Lynn, ,leg,Robert Nelson,7/19/2012,A, ,S, , ,31.183,-84.478,2, ,,United States,Georgia,Baker County,Jones Ecological Research Center,,,,4745087|4745180,http://trace.boldsystems.org/traceIO/bold.org/6592349|http://trace.boldsystems.org/traceIO/bold.org/6592442,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
