processid,BOLDID,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,name,identification_provided_by,voucher_type,tissue_type,collectors,date,lifestage,sex,reproduction,extrainfo,notes,Lat,Long,trapID,coord_source,coord_accuracy,country,province,region,exactsite,image_ids,image_urls,copyright_licenses,trace_ids,trace_links,run_dates,sequencing_centers,directions,seq_primers,marker_codes
NEONU1481-12,NEONTculicid6239,3038425, ,culicid6239,"National Ecological Observatory Network, United States", ,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,22801,Aedes triseriatus,Hilda Lynn, ,leg,Robert Nelson,7/26/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4767925|4767926,http://trace.boldsystems.org/traceIO/bold.org/6615187|http://trace.boldsystems.org/traceIO/bold.org/6615188,2013-01-17 20:50:09|2013-01-17 22:22:03,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,R|F,C_LepFolR|MLepF1,COI-5P|COI-5P
NEONU1500-12,NEONTculicid6258,3038444, ,culicid6258,"National Ecological Observatory Network, United States",BOLD:ACC4605,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,510726,Aedes fulvus pallens,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745408|4745503,http://trace.boldsystems.org/traceIO/bold.org/6592670|http://trace.boldsystems.org/traceIO/bold.org/6592765,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1606-12,NEONTculicid6416,3038550, ,culicid6416,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745083|4745176,http://trace.boldsystems.org/traceIO/bold.org/6592345|http://trace.boldsystems.org/traceIO/bold.org/6592438,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1499-12,NEONTculicid6257,3038443, ,culicid6257,"National Ecological Observatory Network, United States",BOLD:ACC4605,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,510726,Aedes fulvus pallens,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745407|4745502,http://trace.boldsystems.org/traceIO/bold.org/6592669|http://trace.boldsystems.org/traceIO/bold.org/6592764,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1599-12,NEONTculicid6385,3038543, ,culicid6385,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,9/5/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745076|4745169,http://trace.boldsystems.org/traceIO/bold.org/6592338|http://trace.boldsystems.org/traceIO/bold.org/6592431,2013-01-09 02:58:53|2013-01-09 04:30:19,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1498-12,NEONTculicid6256,3038442, ,culicid6256,"National Ecological Observatory Network, United States",BOLD:ACC4605,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,6438,Aedes,510726,Aedes fulvus pallens,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745406|4745501,http://trace.boldsystems.org/traceIO/bold.org/6592668|http://trace.boldsystems.org/traceIO/bold.org/6592763,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1517-12,NEONTculicid6275,3038461, ,culicid6275,"National Ecological Observatory Network, United States",BOLD:ACC4707,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,281661,Psorophora ferox,Hilda Lynn, ,leg,Robert Nelson,7/25/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745425|4745520,http://trace.boldsystems.org/traceIO/bold.org/6592687|http://trace.boldsystems.org/traceIO/bold.org/6592782,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1495-12,NEONTculicid6253,3038439, ,culicid6253,"National Ecological Observatory Network, United States",BOLD:ACC4576,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,373167,Psorophora howardii,Hilda Lynn, ,leg,Robert Nelson,9/5/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745403|4745498,http://trace.boldsystems.org/traceIO/bold.org/6592665|http://trace.boldsystems.org/traceIO/bold.org/6592760,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1492-12,NEONTculicid6250,3038436, ,culicid6250,"National Ecological Observatory Network, United States",BOLD:ACC4576,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,373167,Psorophora howardii,Hilda Lynn, ,leg,Robert Nelson,9/5/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745400|4745495,http://trace.boldsystems.org/traceIO/bold.org/6592662|http://trace.boldsystems.org/traceIO/bold.org/6592757,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
NEONU1493-12,NEONTculicid6251,3038437, ,culicid6251,"National Ecological Observatory Network, United States",BOLD:ACC4576,20,Arthropoda,82,Insecta,127,Diptera,1730,Culicidae,2142,Culicinae,101388,Psorophora,373167,Psorophora howardii,Hilda Lynn, ,leg,Robert Nelson,9/5/2012,A, ,S, , ,29.697,-82.026,1, ,,United States,Florida,Putnam County,Ordway-Swisher Biological Station,,,,4745401|4745496,http://trace.boldsystems.org/traceIO/bold.org/6592663|http://trace.boldsystems.org/traceIO/bold.org/6592758,2013-01-08 10:38:48|2013-01-08 18:18:24,Biodiversity Institute of Ontario|Biodiversity Institute of Ontario,F|R,C_LepFolF|C_LepFolR,COI-5P|COI-5P
