domain,FIU,AIS,AOS,docNumber,docTitle,domainName
1,NEON.DOC.011027,NEON.DOC.001588,,NEON.DOC.003884,TOS Site Characterization: Domain 01 ,Northeast
2,NEON.DOC.011046,NEON.DOC.001589,,NEON.DOC.003886,TOS Site Characterization: Domain 02 ,Mid-Atlantic
3,NEON.DOC.001591,NEON.DOC.011034,,NEON.DOC.003887,TOS Site Characterization: Domain 03 ,Southeast
4,NEON.DOC.011033,NEON.DOC.001648,,NEON.DOC.003888,TOS Site Characterization: Domain 04 ,Atlantic Neotropical
5,NEON.DOC.011058,NEON.DOC.002067,,NEON.DOC.003889,TOS Site Characterization: Domain 05 ,Great Lakes
6,NEON.DOC.011079,NEON.DOC.001858,,NEON.DOC.003890,TOS Site Characterization: Domain 06 ,Prairie Peninsula
7,NEON.DOC.011036,NEON.DOC.001372,,NEON.DOC.003891,TOS Site Characterization: Domain 07 ,Appalachians \& Cumberland Plateau
8,NEON.DOC.011038,NEON.DOC.001370,,NEON.DOC.003892,TOS Site Characterization: Domain 08 ,Ozarks Complex
9,NEON.DOC.011056,NEON.DOC.001670,,NEON.DOC.003893,TOS Site Characterization: Domain 09 ,Northern Plains
10,NEON.DOC.011025,NEON.DOC.002056,,NEON.DOC.003883,TOS Site Characterization: Domain 10 ,Central Plains
11,NEON.DOC.011060,NEON.DOC.002416,,NEON.DOC.003894,TOS Site Characterization: Domain 11 ,Southern Plains
12,NEON.DOC.011061,NEON.DOC.001669,,NEON.DOC.003895,TOS Site Characterization: Domain 12 ,Northern Rockies
13,NEON.DOC.011064,NEON.DOC.002068,,NEON.DOC.003896,TOS Site Characterization: Domain 13 ,Southern Rockies \& Colorado Plateau
14,NEON.DOC.011048,NEON.DOC.001592,,NEON.DOC.003897,TOS Site Characterization: Domain 14 ,Desert Southwest
15,NEON.DOC.011044,NEON.DOC.001857,,NEON.DOC.003898,TOS Site Characterization: Domain 15 ,Great Basin
16,NEON.DOC.011066,NEON.DOC.001856,,NEON.DOC.003899,TOS Site Characterization: Domain 16 ,Pacific Northwest
17,NEON.DOC.011076,NEON.DOC.003536,,NEON.DOC.003900,TOS Site Characterization: Domain 17 ,Pacific Southwest
18,NEON.DOC.011050,NEON.DOC.001671,,NEON.DOC.003901,TOS Site Characterization: Domain 18 ,Tundra
19,NEON.DOC.011052,NEON.DOC.001373,,NEON.DOC.003902,TOS Site Characterization: Domain 19 ,Taiga
20,NEON.DOC.011085,,,NEON.DOC.003903,TOS Site Characterization: Domain 20 ,Pacific Tropical
,,,,NEON.DOC.003885,TOS Site Characterization Methods ,
